City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuuk,64.1835,-51.7216,-8.66,67,100,7.2,GL,1706670098
1,rio grande,-32.035,-52.0986,20.81,88,15,2.79,BR,1706670101
2,palapag,12.5458,125.1147,26.68,77,97,6.71,PH,1706670104
3,ambon,-3.6954,128.1814,32.08,62,40,3.09,ID,1706670108
4,bethel,41.3712,-73.414,1.31,77,100,2.5,US,1706670111
5,le port,-20.9373,55.2919,26.98,76,66,1.97,RE,1706670114
6,hamilton,39.1834,-84.5333,3.02,95,100,2.68,US,1706670117
7,hermanus,-34.4187,19.2345,19.89,80,100,2.58,ZA,1706669954
8,yellowknife,62.456,-114.3525,-11.71,92,100,3.6,CA,1706670085
9,mitsamiouli,-11.3847,43.2844,27.04,71,83,1.41,KM,1706670126
10,pisco,-13.7,-76.2167,24.03,78,100,7.2,PE,1706670129
11,anadyr,64.75,177.4833,-32.72,74,0,4.0,RU,1706670132
12,vuktyl,63.8567,57.3094,-7.16,97,100,0.45,RU,1706670137
13,cabo san lucas,22.8909,-109.9124,24.73,76,98,3.76,MX,1706670004
14,sitka,57.0531,-135.33,0.58,75,100,2.31,US,1706670141
15,hithadhoo,-0.6,73.0833,27.48,73,11,1.8,MV,1706670143
16,shakiso,5.75,38.9167,14.14,81,100,1.56,ET,1706670147
17,tafuna,-14.3358,-170.72,29.28,71,96,4.02,AS,1706670149
18,tiksi,71.6872,128.8694,-26.85,97,57,1.85,RU,1706670151
19,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,70,40,4.0,RU,1706670153
20,arkhangel'sk,64.5401,40.5433,0.07,80,20,5.0,RU,1706670156
21,codrington,-38.2667,141.9667,20.06,58,22,6.47,AU,1706670158
22,ribeira grande,38.5167,-28.7,14.32,86,34,3.13,PT,1706670161
23,adamstown,-25.066,-130.1015,25.32,76,100,11.81,PN,1706670037
24,avarua,-21.2078,-159.775,29.03,65,98,3.6,CK,1706670168
25,kirkwood,38.5834,-90.4068,3.86,81,100,4.12,US,1706670170
26,port-aux-francais,-49.35,70.2167,4.02,73,88,13.94,TF,1706670171
27,edinburgh of the seven seas,-37.0676,-12.3116,13.86,57,81,0.8,SH,1706669885
28,malpica,43.3228,-8.8105,10.74,80,99,2.0,ES,1706670177
29,rikaze,29.25,88.8833,-3.45,43,0,1.76,CN,1706670179
30,talnakh,69.4865,88.3972,-18.22,79,100,4.58,RU,1706670182
31,utrik,11.2278,169.8474,26.12,77,100,7.29,MH,1706670185
32,waitangi,-43.9535,-176.5597,17.68,98,100,1.79,NZ,1706670188
33,plettenberg bay,-34.0527,23.3716,22.01,73,96,0.53,ZA,1706670191
34,chibougamau,49.9168,-74.3659,-8.21,86,100,4.12,CA,1706670194
35,yacuiba,-22.038,-63.6797,27.28,51,61,1.57,BO,1706670197
36,afaahiti,-17.75,-149.2833,28.92,80,81,3.82,PF,1706670200
37,acarau,-2.8856,-40.12,26.44,84,4,3.96,BR,1706670084
38,hailar,49.2,119.7,-30.09,94,75,1.98,CN,1706670205
39,gebeit,21.0667,36.3167,11.58,77,98,1.5,SD,1706670207
40,aasiaat,68.7098,-52.8699,-29.76,94,56,5.69,GL,1706670211
41,cockburn town,21.4612,-71.1419,23.88,57,3,3.89,TC,1706670214
42,crane,31.3974,-102.3501,14.92,38,38,3.37,US,1706670217
43,puerto natales,-51.7236,-72.4875,7.23,91,42,2.14,CL,1706670039
44,iskateley,67.6803,53.1512,-6.1,92,71,4.92,RU,1706670222
45,wailua homesteads,22.0669,-159.378,23.44,79,75,2.57,US,1706670224
46,paita,-5.0892,-81.1144,24.29,83,100,5.1,PE,1706670227
47,nouadhibou,20.931,-17.0347,17.99,55,0,6.69,MR,1706670229
48,ponta delgada,37.7333,-25.6667,15.4,88,75,3.09,PT,1706669962
49,stanley,54.868,-1.6985,4.6,83,0,4.12,GB,1706670235
50,vadso,70.0744,29.7487,3.09,70,20,14.4,NO,1706670239
51,port elizabeth,-33.918,25.5701,21.29,88,0,1.54,ZA,1706670242
52,yaren,-0.5472,166.916,28.81,74,99,4.52,NR,1706670246
53,iqaluit,63.7506,-68.5145,-23.15,64,100,4.63,CA,1706670095
54,namibe,-15.1961,12.1522,24.3,80,17,1.29,AO,1706670252
55,blackmans bay,-43.0167,147.3167,20.07,40,79,3.7,AU,1706670258
56,lihue,21.9789,-159.3672,23.77,76,75,2.06,US,1706670261
57,la passe,45.5549,-0.8967,7.13,91,88,2.61,FR,1706670053
58,sao miguel do araguaia,-13.275,-50.1628,22.64,94,79,1.88,BR,1706670265
59,papatowai,-46.5619,169.4708,18.85,49,80,4.58,NZ,1706670266
60,punta arenas,-53.15,-70.9167,9.06,66,0,3.6,CL,1706670267
61,alofi,-19.0595,-169.9187,27.73,84,100,6.42,NU,1706670269
62,whitehorse,60.7161,-135.0538,-3.57,63,20,3.09,CA,1706670271
63,haiku-pauwela,20.9219,-156.3051,21.95,94,100,5.14,US,1706670274
64,tera,14.0078,0.7531,19.49,18,25,4.62,NE,1706670276
65,grytviken,-54.2811,-36.5092,3.06,78,21,5.12,GS,1706670056
66,ushuaia,-54.8,-68.3,9.81,66,40,12.35,AR,1706670096
67,bilibino,68.0546,166.4372,-33.91,100,100,0.12,RU,1706670283
68,santa ana,33.7456,-117.8678,20.02,70,75,0.0,US,1706670285
69,invercargill,-46.4,168.35,18.9,57,97,4.92,NZ,1706670052
70,port mathurin,-19.6833,63.4167,27.31,82,100,8.94,MU,1706670291
71,tobelo,1.7284,128.0095,28.89,75,100,2.48,ID,1706670295
72,xilin hot,43.9667,116.0333,-23.96,88,15,1.01,CN,1706670297
73,egilsstadir,65.2653,-14.3948,-2.05,69,0,2.57,IS,1706670300
74,tura,25.5198,90.2201,20.69,36,0,0.33,IN,1706670302
75,west island,-12.1568,96.8225,29.99,66,64,2.57,CC,1706670305
76,sarakhs,36.5449,61.1577,3.04,70,90,3.36,IR,1706670311
77,puerto ayora,-0.7393,-90.3518,25.33,89,96,3.93,EC,1706670315
78,darovskoy,58.77,47.9564,-7.63,92,14,3.25,RU,1706670318
79,borogontsy,62.6683,131.1683,-33.76,94,39,0.22,RU,1706670160
80,port alfred,-33.5906,26.891,20.1,94,100,0.89,ZA,1706670323
81,akureyri,65.6835,-18.0878,-5.04,86,0,5.14,IS,1706670326
82,georgetown,5.4112,100.3354,29.96,69,20,3.6,MY,1706670156
83,pauini,-7.7136,-66.9764,24.34,94,100,0.65,BR,1706670332
84,gadzhiyevo,69.2551,33.3362,0.83,74,100,15.45,RU,1706670335
85,margaret river,-33.95,115.0667,28.05,49,0,4.02,AU,1706670337
86,albany,42.6001,-73.9662,-0.2,84,100,2.26,US,1706670340
87,cannonvale,-20.2833,148.7,30.66,67,88,3.44,AU,1706670342
88,askoy,60.4092,5.226,3.2,100,75,5.66,NO,1706670345
89,kapuskasing,49.4169,-82.4331,1.05,93,100,4.63,CA,1706670064
90,atafu village,-8.5421,-172.5159,29.15,72,15,2.58,TK,1706670351
91,santa rosa de rio primero,-31.1523,-63.4019,24.88,51,32,2.61,AR,1706670353
92,ciudad melchor muzquiz,27.8833,-101.5167,18.54,53,24,3.29,MX,1706670356
93,baidoa,3.1138,43.6498,21.31,79,59,6.13,SO,1706670359
94,sur,22.5667,59.5289,23.05,74,100,2.05,OM,1706670362
95,nyala,12.05,24.8833,16.31,22,36,7.87,SD,1706670365
96,dasha,23.11,113.4444,19.99,78,100,1.57,CN,1706670367
97,zarinsk,53.7074,84.9493,-23.56,100,99,1.43,RU,1706670369
98,santa cruz,-17.8,-63.1667,24.7,94,53,3.6,BO,1706670372
99,zhanaozen,43.3,52.8,-3.78,82,65,4.55,KZ,1706670219
100,burang,30.25,81.1667,-9.4,52,2,2.24,CN,1706670378
101,chinde,26.8418,88.0763,12.06,44,2,1.33,NP,1706670382
